question_id	question_rank	document_title	paragraph_index
103	5	Military_history_of_the_United_States	32
106	1	Antibiotics	4
106	2	Royal_Dutch_Shell	6
106	3	Myanmar	18
106	4	Chihuahua_(state)	52
106	5	History_of_science	37
109	1	History_of_science	62
109	2	Sino-Tibetan_relations_during_the_Ming_dynasty	35
109	3	History_of_science	0
109	4	Sino-Tibetan_relations_during_the_Ming_dynasty	15
109	5	Sino-Tibetan_relations_during_the_Ming_dynasty	22
112	1	Queen_Victoria	28
112	2	Queen_Victoria	36
112	3	Southampton	89
112	4	Queen_Victoria	8
112	5	Queen_Victoria	33
115	1	St._John%27s,_Newfoundland_and_Labrador	3
115	2	Geological_history_of_Earth	21
115	3	Dog	41
115	4	Geological_history_of_Earth	22
115	5	Military_history_of_the_United_States	0
118	1	Nigeria	31
118	2	Nigeria	0
118	3	Nigeria	46
118	4	Jehovah%27s_Witnesses	24
118	5	Nigeria	10
121	1	Zinc	2
121	2	Zinc	33
121	3	Zinc	21
121	4	Zinc	6
121	5	Zinc	36
124	1	Hunting	14
124	2	Hunting	29
124	3	Hunting	10
124	4	Hunting	9
124	5	Montana	15
127	1	Capacitor	7
127	2	Capacitor	0
127	3	Capacitor	10
127	4	Capacitor	15
127	5	Capacitor	12
130	1	Bird_migration	52
130	2	Bird	54
130	3	Bird_migration	51
130	4	Bird_migration	27
130	5	Bird	2
133	1	Richmond,_Virginia	34
133	2	Richmond,_Virginia	11
133	3	Richmond,_Virginia	1
133	4	Detroit	7
133	5	Richmond,_Virginia	13
136	1	Hunter-gatherer	23
136	2	Hunter-gatherer	26
136	3	Hunter-gatherer	25
136	4	Nonprofit_organization	6
136	5	Hunter-gatherer	15
139	1	Athanasius_of_Alexandria	0
139	2	Athanasius_of_Alexandria	13
139	3	Athanasius_of_Alexandria	6
139	4	Athanasius_of_Alexandria	27
139	5	Athanasius_of_Alexandria	10
142	1	Alfred_North_Whitehead	6
142	2	Carnival	25
142	3	Nutrition	1
142	4	Alaska	11
142	5	Animal	15
145	1	Kathmandu	50
145	2	Tibet	30
145	3	Tibet	3
145	4	Sino-Tibetan_relations_during_the_Ming_dynasty	3
145	5	Tibet	11
148	1	Somerset	6
148	2	Somerset	23
148	3	Somerset	24
148	4	The_Times	1
148	5	Somerset	2
151	1	American_Idol	62
151	2	Queen_(band)	38
151	3	Bras%C3%ADlia	2
151	4	American_Idol	58
151	5	American_Idol	10
154	1	Planck_constant	10
154	2	Database	9
154	3	Hydrogen	7
154	4	Emotion	41
154	5	Planck_constant	11
157	1	Quran	23
157	2	Textual_criticism	6
157	3	Jehovah%27s_Witnesses	24
157	4	Buddhism	23
157	5	Textual_criticism	0
160	1	Airport	22
160	2	Bras%C3%ADlia	21
160	3	Bermuda	36
160	4	Nanjing	40
160	5	North_Carolina	60
163	1	Oklahoma	5
163	2	Geography_of_the_United_States	6
163	3	North_Carolina	1
163	4	North_Carolina	2
163	5	Montana	10
166	1	New_York_City	82
166	2	New_York_City	33
166	3	New_York_City	0
166	4	New_York_City	130
166	5	New_York_City	79
169	1	Muammar_Gaddafi	68
169	2	Muammar_Gaddafi	60
169	3	Muammar_Gaddafi	46
169	4	Muammar_Gaddafi	61
169	5	Muammar_Gaddafi	34
172	1	Crucifixion_of_Jesus	19
172	2	Dell	39
172	3	Protestantism	55
172	4	Montevideo	7
172	5	The_Blitz	4
175	1	Financial_crisis_of_2007%E2%80%9308	57
175	2	Szlachta	59
175	3	The_Blitz	4
175	4	Madonna_(entertainer)	37
175	5	Unicode	17
178	1	New_Haven,_Connecticut	3
178	2	New_Haven,_Connecticut	41
178	3	New_Haven,_Connecticut	43
178	4	New_Haven,_Connecticut	40
178	5	New_Haven,_Connecticut	39
181	1	The_Bronx	4
181	2	The_Bronx	52
181	3	The_Bronx	20
181	4	The_Bronx	51
181	5	The_Bronx	15
184	1	Russian_Soviet_Federative_Socialist_Republic	2
184	2	Dissolution_of_the_Soviet_Union	0
184	3	Dissolution_of_the_Soviet_Union	64
184	4	Russian_Soviet_Federative_Socialist_Republic	11
184	5	Russian_Soviet_Federative_Socialist_Republic	16
187	1	Catalan_language	68
187	2	Catalan_language	32
187	3	Catalan_language	76
187	4	Catalan_language	20
187	5	Catalan_language	75
190	1	Cotton	15
190	2	Cotton	7
190	3	Cotton	8
190	4	Cotton	17
190	5	Cotton	24
193	1	Plymouth	58
193	2	Plymouth	42
193	3	Religion_in_ancient_Rome	43
193	4	Protestantism	42
193	5	Carnival	6
196	1	Tibet	7
196	2	Korean_War	11
196	3	Korean_War	44
196	4	2008_Summer_Olympics_torch_relay	39
196	5	Pacific_War	61
199	1	San_Diego	29
199	2	San_Diego	27
199	3	San_Diego	45
199	4	San_Diego	5
199	5	San_Diego	39
202	1	Identity_(social_science)	5
202	2	Adolescence	11
202	3	Identity_(social_science)	18
202	4	Adolescence	26
202	5	Identity_(social_science)	0
205	1	Alexander_Graham_Bell	31
205	2	Alexander_Graham_Bell	39
205	3	Alexander_Graham_Bell	32
205	4	Alexander_Graham_Bell	33
205	5	Alexander_Graham_Bell	43
208	1	New_Delhi	33
208	2	Somerset	25
208	3	Charleston,_South_Carolina	31
208	4	Alaska	46
208	5	Portugal	93
211	1	Insect	31
211	2	Dutch_language	11
211	3	Mary_(mother_of_Jesus)	0
211	4	Bern	36
211	5	Hanover	19
214	1	Brigham_Young_University	34
214	2	Brigham_Young_University	9
214	3	Houston	44
214	4	Gothic_architecture	34
214	5	Utrecht	22
217	1	Cubism	30
217	2	Cubism	34
217	3	Cubism	32
217	4	Cubism	38
217	5	Neoclassical_architecture	19
220	1	Protestantism	27
220	2	British_Isles	19
220	3	Alfred_North_Whitehead	6
220	4	Time	12
220	5	Oklahoma	15
223	1	2008_Summer_Olympics_torch_relay	59
223	2	Dell	39
223	3	Crucifixion_of_Jesus	19
223	4	Hokkien	20
223	5	Sony_Music_Entertainment	27
226	1	Pub	76
226	2	Pub	77
226	3	Southampton	38
226	4	Pub	51
226	5	Saint_Helena	38
229	1	Crucifixion_of_Jesus	1
229	2	Crucifixion_of_Jesus	3
229	3	Crucifixion_of_Jesus	28
229	4	Crucifixion_of_Jesus	5
229	5	Crucifixion_of_Jesus	8
232	1	North_Carolina	9
232	2	Carnival	5
232	3	Thuringia	1
232	4	Oklahoma	15
232	5	North_Carolina	20
235	1	List_of_numbered_streets_in_Manhattan	0
235	2	List_of_numbered_streets_in_Manhattan	3
235	3	List_of_numbered_streets_in_Manhattan	1
235	4	List_of_numbered_streets_in_Manhattan	2
235	5	List_of_numbered_streets_in_Manhattan	7
238	1	Queen_Victoria	28
238	2	Queen_Victoria	36
238	3	Queen_Victoria	12
238	4	Southampton	89
238	5	George_VI	1
241	1	USB	26
241	2	USB	8
241	3	USB	33
241	4	USB	38
241	5	USB	30
244	1	British_Isles	28
244	2	Federalism	33
244	3	British_Isles	2
244	4	British_Isles	24
244	5	British_Isles	25
247	1	To_Kill_a_Mockingbird	9
247	2	To_Kill_a_Mockingbird	11
247	3	To_Kill_a_Mockingbird	10
247	4	To_Kill_a_Mockingbird	25
247	5	To_Kill_a_Mockingbird	28
250	1	Plymouth	78
250	2	Cyprus	41
250	3	Plymouth	79
250	4	Madonna_(entertainer)	4
250	5	John_Kerry	3
253	1	Samurai	40
253	2	Samurai	18
253	3	Samurai	49
253	4	Samurai	30
253	5	Modern_history	7
256	1	Gothic_architecture	34
256	2	University	12
256	3	London	56
256	4	Southampton	77
256	5	University	11
259	1	Planck_constant	20
259	2	Planck_constant	13
259	3	Planck_constant	17
259	4	Planck_constant	16
259	5	Planck_constant	21
262	1	Group_(mathematics)	6
262	2	Phonology	5
262	3	Symbiosis	8
262	4	Karl_Popper	21
262	5	Immunology	14
265	1	Dog	50
265	2	Dog	28
265	3	Dog	27
265	4	Dog	66
265	5	Dog	36
268	1	Jehovah%27s_Witnesses	12
268	2	St._John%27s,_Newfoundland_and_Labrador	22
268	3	Presbyterianism	26
268	4	Jehovah%27s_Witnesses	15
268	5	Jehovah%27s_Witnesses	11
271	1	Mexico_City	0
271	2	Mexico_City	56
271	3	Mexico_City	85
271	4	Mexico_City	24
271	5	Mexico_City	2
274	1	Race_and_ethnicity_in_the_United_States_Census	9
274	2	Crimean_War	49
274	3	Buddhism	10
274	4	Political_corruption	51
274	5	2008_Sichuan_earthquake	74
277	1	Paris	58
277	2	Nanjing	49
277	3	Hanover	16
277	4	Greece	70
277	5	Raleigh,_North_Carolina	24
280	1	Bras%C3%ADlia	2
280	2	History_of_India	23
280	3	Heresy	7
280	4	Arnold_Schwarzenegger	7
280	5	Humanism	10
283	1	Detroit	38
283	2	Detroit	39
283	3	Detroit	6
283	4	Chihuahua_(state)	3
283	5	Mexico_City	7
286	1	East_India_Company	30
286	2	Dutch_Republic	15
286	3	East_India_Company	24
286	4	East_India_Company	3
286	5	Saint_Helena	8
289	1	Steven_Spielberg	1
289	2	Steven_Spielberg	37
289	3	Steven_Spielberg	2
289	4	Steven_Spielberg	9
289	5	Steven_Spielberg	46
292	1	Raleigh,_North_Carolina	9
292	2	North_Carolina	54
292	3	North_Carolina	56
292	4	North_Carolina	52
292	5	North_Carolina	30
295	1	Antarctica	3
295	2	Biodiversity	20
295	3	Southeast_Asia	11
295	4	History_of_science	17
295	5	Biodiversity	27
298	1	Cyprus	12
298	2	Cyprus	40
298	3	Cyprus	16
298	4	Cyprus	20
298	5	Cyprus	2
